,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-03_LCC_PS_R1,0_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP_R1,1_Cornell_Pos_S-01_LMT_PS_PMM_R1,1_Cornell_Pos_S-04_LMT_PS_PMM_R1,1_Cornell_Pos_S-05_O_R1,1_Cornell_Pos_S-06_O_R1,1_Cornell_Pos_S-07_O_R1,1_Cornell_Pos_S-08_LMT_PS_PMM_R1,1_Cornell_Pos_S-09_LMT_PS_PMM_RP_R1,1_Cornell_Pos_S-13_O_R1,1_Cornell_Pos_S-14_LMH_PS_PMM_R1,1_Cornell_Pos_S-15_LMT_LMH_PS_PMM_R1,1_Cornell_Pos_S-18_O_R1,1_Cornell_Pos_S-19_LMH_PS_PMM_R1,1_Cornell_Pos_S-20_O_R1,1_Cornell_Pos_S-21_LMT_PS_PMM_R1,1_Cornell_Pos_S-22_O_R1,1_Cornell_Pos_S-23_O_R1,1_Cornell_Pos_S-25_O_R1,1_Cornell_Pos_S-26_O_R1,1_Cornell_Pos_S-28_LMT_PS_PMM_R1,1_Cornell_Pos_S-29_RP_R1,1_Cornell_Pos_S-30_O_R1,1_Cornell_Pos_S-31_LMT_PS_PMM_R1,1_Cornell_Pos_S-33_O_R1,1_Cornell_Pos_S-34_O_R1,1_Cornell_Pos_S-36_O_R1,1_Cornell_Pos_S-37_O_R1,1_Cornell_Pos_S-38_O_R1,1_Cornell_Pos_S-41_O_R1,1_Cornell_Pos_S-42_LMT_LMH_PS_PMM_R1,1_Cornell_Pos_S-43_RP_R1,1_Cornell_Pos_S-44_O_R1,1_Cornell_Pos_S-46_O_R1,1_Cornell_Pos_S-47_RP_R1,1_Cornell_Pos_S-48_O_R1,1_Cornell_Pos_S-49_O_R1,1_Cornell_Pos_S-50_LMH_LCT_PS_PMM_R1,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
8860,8860,12.514,314.17511,w/o MS2:alpha-Codeimethine,[M+H]+,,0.146,FALSE,3.506,314.17511,C19H23NO3,Phenanthrenes and derivatives,ZOCTZZQDDXGIRB-UHFFFAOYSA-N,CN(C)CCC12C3C=CC(C1OC4=C(C=CC(=C24)C=C3)OC)O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,100,99.6,,,,13.17,Cornell_Pos_S-21,314.17511:555944 315.17846:116319 316.18182:0,,306.07199_@_1.819,3.175152316,4.831376628,5.249204596,3.744360768,5.112009139,4.599396844,4.762682645,4.579662302,5.021046221,4.67067226,5.009186477,5.104386906,4.4297684,4.640437194,4.917689017,5.314273289,4.693384977,5.056883138,5.744849822,5.029963393,4.958190227,5.059022414,5.17575769,5.415641915,5.103110699,5.172108164,5.205616584,5.685441708,4.83667069,5.133091508,4.954379001,4.736316494,4.952931913,4.809555227,5.080810738,4.878830778,4.826978277,4.527718108,3.151357128,4.745515369,0.66929133,4.250023577,0.39121454,0.012553917,0.255409827,0.242303037,365,0.000533283,-0.012020634,0
28371,28371,18.119,726.85663,Unknown,[M+H]+,,0.326,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,3.05,Cornell_Pos_Blank2,726.85663:89060 727.85998:0 728.86334:0,,716.81873_@_2.222,5.229414432,4.512363584,4.992282068,5.898236334,4.14674283,3.468476793,3.820327148,4.756674523,3.321885066,3.648276606,3.073134811,3.507993555,5.471649831,5.687950624,3.943128143,3.973705434,3.657324194,3.522667213,4.097029507,4.226777415,1.715827898,5.449481344,3.257580376,4.081156721,3.335866344,2.811441841,3.791644883,3.868178477,5.123174729,3.549708703,3.575786792,2.891706859,2.242575043,4.145204577,4.602631587,4.530957688,5.267912011,4.329216851,5.285282308,4.256998826,-1.201516395,5.158074105,-0.390985052,0.012610412,0.458831216,0.435285511,366,0.000534744,-0.012075669,0
16200,16200,9.906,454.20917,"w/o MS2:(2S)-N-(6-methoxy-2,3,4,9-tetrahydro-1H-carbazol-1-yl)-3-methyl-2-(1-oxoisoindolin-2-yl)butanamide",[M+H]+,,0.067,FALSE,6.02,454.20999,C26H29N3O3,Carbazoles,KSSWRUXVLNZVCO-GITCGBDTSA-N,O=C1C=2C=CC=CC2CN1C(C(=O)NC3C=4NC=5C=CC(OC)=CC5C4CCC3)C(C)C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,96.5,99.9,,,,15.45,Cornell_Pos_S-22_R,454.20917:1220013 455.21252:240138 456.21588:0,,446.22495_@_2.847,5.725723056,3.76505015,3.577559915,5.433008672,3.658734923,4.316136288,3.354009769,3.398165365,3.203600577,3.590234917,3.116319559,3.110760165,5.725983724,3.396332833,3.806441041,3.639172918,3.710368146,3.386393596,2.938426133,2.568212922,3.835702572,3.892623858,3.210765752,3.723387491,3.79330263,3.805318001,3.242111801,3.100304016,5.23486587,2.950019813,3.313583515,4.243294423,4.090031514,3.752465809,4.50124699,3.435672984,3.415930296,4.590493213,4.045928892,2.58748485,-0.96745136,4.625335448,-0.390807398,0.012654296,0.369645456,0.35067647,367,0.000536205,-0.012118091,0
15322,15322,11.35,435.33304,Unknown,[M+H]+,,0.09,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,19.6,Cornell_Pos_S-47,435.33304:967696 436.33639:0 437.33975:0,,428.69855_@_1.662,5.956541048,3.119019359,3.486130722,5.550914927,2.849884827,3.584480425,3.698287111,6.116814557,3.680717973,3.145696944,3.101765028,3.444758536,3.816689155,5.109339571,2.971090685,3.581437119,3.656964299,3.366219911,3.809421059,2.961783255,3.825349697,3.029896192,3.592201081,3.769014918,3.625596491,3.656253346,3.307482343,3.409297703,3.155724487,3.54592993,2.591418722,3.539477438,3.324313803,3.816333812,3.794617437,3.668652745,2.839398662,3.526934217,3.482397972,3.188501662,-0.984147539,4.528151514,-0.39073799,0.012671476,0.376103594,0.356803198,368,0.000537666,-0.01213381,0
3533,3533,11.365,192.34714,Unknown,[M+H]+,,0.056,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,9.85,Cornell_Pos_S-03,192.34714:110016 193.35049:0 194.35385:0,,184.32471_@_10.873,3.007266167,2.747569961,3.447727915,2.974519493,3.917508822,3.323384905,2.601860826,2.951555586,4.165011568,3.210543603,3.069447621,3.685998957,3.139318039,3.575764687,3.754978598,2.703890822,3.696511751,3.255465543,3.526948058,3.504259568,3.469534027,3.955097799,3.33693511,3.577756812,3.887631944,3.705658523,3.555792502,3.348357816,3.665085823,3.397714809,3.578948924,3.614460119,4.13240305,3.675136997,3.950342557,3.644821982,3.254527221,3.682850592,3.579125151,3.611445613,0.475342347,3.044270884,0.390563763,0.012714688,0.18175332,0.172426339,369,0.000539127,-0.012175561,0
29991,29991,19.684,771.98169,Unknown,[M+H]+,,0.281,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,3.42,Cornell_Pos_S-30,771.98169:67170 772.98504:0 773.9884:0,,762.07544_@_18.596,2.973718353,3.927148227,3.963609994,3.489852491,4.203932394,4.392927379,4.25460119,4.145705547,4.297713198,3.588524494,3.836912639,3.876785696,3.873018514,3.976718951,4.299245736,3.693009581,3.782722788,4.504762282,2.955619837,4.370659966,4.319774639,4.45862469,4.229140571,4.115510807,3.877421412,3.986982999,4.124221649,4.41416747,3.626359522,4.602771748,4.050106671,4.242744294,3.902422372,3.943375618,3.848119463,4.038301828,3.86770506,3.673200134,4.178209407,4.275012818,0.462168661,3.588582266,0.390388075,0.012758389,0.176810029,0.167736722,370,0.000540588,-0.012217801,0
28559,28559,15.583,732.62677,Unknown,[M+3H]3+,,0.067,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,3.59,Cornell_Pos_QC100_3_20240428192327,732.62677:111456 733.63012:61758 734.63348:0,,721.50568_@_17.626,6.738678777,6.872939656,6.937834239,7.05248947,7.004446695,6.786503519,7.175319023,7.139935212,7.436043948,7.131405452,7.42641715,7.149080134,7.35153377,7.17045741,7.10425888,6.832585383,7.06328623,7.209421566,6.841010941,7.014159645,7.661632503,7.358478764,7.122250719,7.468197537,7.324864625,7.44367989,7.364049278,7.452633906,6.899234376,7.229336632,7.115828143,6.820608272,7.158462941,7.090575282,7.435344343,6.956524122,7.359663312,7.220895778,7.156224999,7.131207796,0.283002192,6.900485536,0.390266326,0.012788748,0.108306872,0.10274892,371,0.000542049,-0.012246699,0
3692,3692,11.489,196.87717,Unknown,[M+H]+,,0.079,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,18.82,Cornell_Pos_Blank1,196.87717:281374 197.88052:0 198.88388:0,,187.86607_@_11.629,4.719527274,3.517065659,4.115664497,3.87760778,3.762757729,3.241204303,2.83162826,4.255852722,3.506977196,3.203304755,3.163556009,3.781483028,3.730801758,3.708183099,2.652650592,3.567481072,3.430803639,3.550823815,3.10228331,3.678269051,3.928242456,3.218547318,3.493681292,3.418329626,3.708550057,3.356370824,3.65602311,4.091205019,3.747976742,4.274629348,3.479975768,3.767975793,3.387866324,2.742985683,3.62755483,3.722205171,3.532337443,4.000742656,3.440707072,3.085461641,-0.533871066,4.057466302,-0.390096337,0.012831239,0.204421129,0.193930911,372,0.00054351,-0.012287729,0
6946,6946,10.84,275.21402,w/o MS2:Ropivacaine,[M+H]+,,0.348,FALSE,2.567,275.2121,C17H26N2O,Alpha amino acid amides,ZKMNUMMKYBVTFN-UHFFFAOYSA-N,OC(=NC=1C(=CC=CC1C)C)C2N(CCC)CCCC2,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,82.5,99.7,,,,9.09,Cornell_Pos_S-15,275.21402:324326 276.21737:0 277.22073:0,,267.22498_@_11.633,3.877951113,3.629312871,3.68886033,4.67977291,4.086870158,3.195880698,3.523122564,3.880011649,3.410303902,3.666505163,3.595903047,3.622863528,3.839276355,3.700490645,3.286256288,3.602578366,3.319720239,3.821697129,3.264226558,3.353146006,2.492401325,3.639868041,3.699755448,3.593209082,3.413365605,3.526350569,3.431786858,3.292463675,3.571291449,4.241925629,3.292310559,3.05226612,3.247183605,2.997474037,3.631821433,3.035573753,3.666553282,3.830322357,3.451556168,2.751088129,-0.495990433,3.968974306,-0.390043984,0.01284435,0.189946567,0.180199136,373,0.000544971,-0.012299379,0
16654,16654,18.434,462.29321,Unknown,[M+H]+,,0.067,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,6.31,Cornell_Pos_S-20_R,462.29321:173686 463.29656:0 464.29992:0,,455.34836_@_9.971,7.243129616,6.195117702,7.002056639,5.264504114,4.639954214,4.604996228,7.092936649,4.519332206,4.776290107,5.066050311,7.898534285,4.966999265,4.758981525,4.577050544,4.499282549,4.685202646,4.6391851,4.076951343,4.102188379,3.647635952,5.079683417,4.760214131,4.46701114,4.120784446,6.303177999,4.034330697,6.337197961,3.768094844,4.553065806,3.907986254,4.101075995,7.094305081,5.913252744,4.61168746,4.315217411,5.926474497,5.457477131,4.339590912,4.527396722,7.234324256,-1.44275979,6.426202018,-0.39002761,0.012848452,0.552552669,0.524197489,374,0.000546432,-0.01230202,0
18409,18409,11.928,496.9751,Unknown,[M+H]+,ion correlated with 8360; ion correlated with 13738; ion correlated with 21282; ion correlated with 24488; ion correlated with 28535; ion correlated with 33569; ion correlated with 4169; ion correlated with 8602; ion correlated with 17412; ion correlated with 30191; ion correlated with 4069; ion correlated with 10123; ion correlated with 2941; ion correlated with 6809; ion correlated with 11225; ion correlated with 15383; ion correlated with 28063; ion correlated with 33335; ion correlated with 28349; ion correlated with 31228; ion correlated with 32517; ion correlated with 6531; ion correlated with 32006; ion correlated with 33795; ion correlated with 8472; ion correlated with 32887; ion correlated with 23512; ion correlated with 32317; ion correlated with 32817; ion correlated with 6665; ion correlated with 31684; ion correlated with 32182; ion correlated with 11605; ion correlated with 2461; ion correlated with 33775; ion correlated with 33812; ion correlated with 26057; ion correlated with 29580; ion correlated with 30222; ion correlated with 32476; ion correlated with 6868; ion correlated with 28415; ion correlated with 9237; ion correlated with 33686; ion correlated with 15375; ion correlated with 16906; ion correlated with 32956; ion correlated with 33223; ion correlated with 12560; ion correlated with 15764; ion correlated with 16262; ion correlated with 31698; ion correlated with 1435; ion correlated with 30471; ion correlated with 3052; ion correlated with 6416; ion correlated with 33540; ion correlated with 5448; ion correlated with 23767; ion correlated with 13102; ion correlated with 14549; ion correlated with 34221; ion correlated with 3425; ion correlated with 23830; ion correlated with 30643; ion correlated with 10207; ion correlated with 2604; ion correlated with 9762; ion correlated with 14537; ion correlated with 25298; ion correlated with 29080; ion correlated with 30826; ion correlated with 21377; ion correlated with 1694; ion correlated with 11224; ion correlated with 13053; ion correlated with 26569; ion correlated with 5362; ion correlated with 6252; ion correlated with 10991; ion correlated with 25203; ion correlated with 30210; ion correlated with 32592; ion correlated with 9198; ion correlated with 10022; ion correlated with 24343; ion correlated with 32600; ion correlated with 32808; ion correlated with 32937; ion correlated with 11984; ion correlated with 30146; ion correlated with 33477; ion correlated with 5207; ion correlated with 10602; ion correlated with 24363; ion correlated with 25246; ion correlated with 33526; ion correlated with 16999; ion correlated with 20477; ion correlated with 28618; ion correlated with 29559; ion correlated with 21495; ion correlated with 31336; ion correlated with 15077; ion correlated with 19643; ion correlated with 22385; ion correlated with 22764; ion correlated with 29790; ion correlated with 6901; ion correlated with 13729; ion correlated with 14168; ion correlated with 25063; ion correlated with 33343; ion correlated with 27844; ion correlated with 27869; ion correlated with 8785; ion correlated with 9657; ion correlated with 12662; ion correlated with 32291; ion correlated with 32615; ion correlated with 4987; ion correlated with 21569; ion correlated with 33107; ion correlated with 6455; ion correlated with 26830; ion correlated with 31070; ion correlated with 32255; ion correlated with 32141; ion correlated with 18580; ion correlated with 34080; ion correlated with 33552,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,46.17,Cornell_Pos_Blank1,496.9751:237506 497.97845:0 498.98181:0,,488.65436_@_1.737,5.702857986,4.023556176,3.236754519,5.826964533,2.828861296,3.637177636,4.346140935,6.49616045,3.975582065,3.835528896,3.035012693,3.584359049,3.858394789,5.559720358,3.513208187,3.622920568,3.304460511,3.018737718,3.402964674,2.828216228,2.896132743,3.468883059,3.605385429,3.375452358,4.202566418,3.624117505,2.892433732,3.071444072,3.964293516,3.582722622,3.885943969,3.708390766,3.597317187,3.113880001,3.360101377,3.117636058,3.542395311,3.08765164,3.153640433,4.262292975,-1.076418658,4.697533303,-0.389997742,0.012855939,0.41228743,0.391130199,375,0.000547893,-0.012308046,0
28981,28981,2.028,742.22363,Unknown,[M+2H]2+,,0.191,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,21.49,Cornell_Pos_S-28,742.22363:776412 743.22698:297095 744.23034:0,,733.98285_@_2.152,5.994696557,3.963110436,5.217570005,5.897783719,4.15968429,3.14718595,2.719468103,4.730221517,4.72412088,4.34094774,3.413637158,4.309794833,5.410259436,5.079444718,3.817660425,3.971767019,3.374187808,3.656266972,4.806453054,4.856834546,3.242299413,5.384643574,3.701511366,4.888708547,3.945381274,3.62664807,4.675709317,5.485309503,5.149437408,3.725690552,3.525377307,4.136801297,4.309757309,4.407807428,4.864976678,4.268767248,4.683403075,4.578770717,4.724451976,4.557688644,-0.979371425,5.268290179,-0.389994707,0.0128567,0.375120063,0.355870139,376,0.000549354,-0.012307346,0
15348,15348,11.166,436.21771,w/o MS2:MMV676478,[M+H]+,,0.169,FALSE,,436.21667,C24H29N5OS,4-benzylpiperidines,QREVWNVSFCZWGU-UHFFFAOYSA-N,O=C(N1CCC(CC=2C=CC=CC2)CC1)C3CCN(C4=NN=C(S4)N5C=CC=C5)CC3,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,94.6,,,,,9.67,Cornell_Pos_S-03,436.21771:1781122 437.22106:463471 438.22442:0,,429.28891_@_17.69,6.696452048,6.954993809,6.988702828,7.036262134,6.839470097,6.712614239,6.488738116,6.723127598,6.628492187,6.79716319,6.815791958,6.559887589,6.895243153,6.645608518,6.870677824,6.804791718,6.725001786,6.858404309,6.388560297,6.849008479,6.685093038,6.728422071,6.908306299,6.462873378,6.966481116,6.699944226,6.595843353,6.695570757,6.700891665,6.861366304,6.716624913,6.793316477,6.836783882,6.8895055,6.623373132,6.707824284,6.894286224,6.651801605,6.730477785,6.689609699,-0.184631128,6.919102705,-0.389943303,0.012869594,0.070728639,0.067099078,377,0.000550815,-0.012318779,0
23916,23916,12.056,612.4801,Unknown,[M+H]+,,0.225,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,91.7,Cornell_Pos_Blank2,612.4801:15428426 613.48345:5827489 614.48681:1167646,,603.25055_@_9.728,2.661863663,3.470203214,2.176593859,2.349803882,2.51384399,2.811957949,3.469370808,3.220148861,3.441959505,3.650438605,4.657913344,3.151525256,3.483395785,5.125190259,3.674939076,3.380840583,3.511336237,3.178897406,3.520519768,3.276007406,2.587917363,2.26926389,3.239018196,3.966347488,3.695947105,3.400708233,3.653861785,3.006486475,3.375436723,3.501260303,3.29254219,3.557543779,3.886744984,3.933011804,3.697574608,3.670826277,4.772288304,3.881789747,3.67816192,5.73482747,0.91510172,2.664616155,0.389893856,0.012882008,0.350610323,0.332618158,378,0.000552276,-0.012329732,0
7949,7949,10.572,296.18298,w/o MS2:Esmolol,[M+2H]2+,,0.742,FALSE,3.135,296.18521,C16H25NO4,Phenol ethers,AQNDDEOPVVGCPG-UHFFFAOYSA-N,O=C(OC)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,77.2,99.7,,,,10.65,Cornell_Pos_S-43,296.18298:1111642 297.18633:20263688 298.18969:4420046,,289.0853_@_0.127,3.160113132,2.941531683,2.911496281,3.541851585,3.17570952,3.777768185,3.42873107,3.078176841,4.100153907,3.679861842,3.351958081,3.600498522,3.40514865,3.695115203,3.471696632,3.53368298,3.969773893,2.806344573,3.746027084,3.632935401,3.170605822,3.210504103,3.291381169,3.419195495,3.731968721,3.620054048,3.448993936,3.798086933,3.659033273,3.779374423,3.905421822,3.625096257,3.637823178,2.739332902,3.658908995,3.802301333,3.788271092,4.004233649,3.886971857,3.894369311,0.431404905,3.13874817,0.389887574,0.012883586,0.165290791,0.156808613,379,0.000553737,-0.012329849,0
61,61,11.985,106.26745,Unknown,[M+H]+,similar chromatogram in higher mz_25808; similar chromatogram in higher mz_4349; similar chromatogram in higher mz_2303; similar chromatogram in higher mz_32796; similar chromatogram in higher mz_32524,0.056,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,6.18,Cornell_Pos_S-08_R,106.26745:58790 107.2708:0 108.27416:0,,1007.40887_@_2.103,6.415994674,5.526185567,4.094221691,6.22913169,4.853576988,3.413424877,3.073082118,5.882190108,4.390665809,3.537418957,3.378684914,5.135548427,5.954342016,5.278710662,4.268072837,4.323673767,4.034200486,3.449322421,5.138858442,4.6401551,3.501502146,4.326555942,4.512877769,5.464041567,5.042586563,4.360057525,3.194648912,4.983831491,5.157567666,4.619797541,3.664838433,4.779020742,4.247858447,5.391323301,3.538407694,4.057691009,5.436727586,4.980653671,3.666036221,4.646514473,-1.112925999,5.566383405,-0.389757917,0.012916188,0.426579714,0.40468905,380,0.000555198,-0.01236099,0
2986,2986,2.004,180.09895,w/o MS2:Phenprobamate,[M+H]+,,0.079,FALSE,1.008,180.10091,C10H13NO2,Benzene and substituted derivatives,CAMYKONBWHRPDD-UHFFFAOYSA-N,N=C(O)OCCCC=1C=CC=CC1,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,82,100,,,,8.32,Cornell_Pos_S-05,180.09895:1201740 181.1023:0 182.10566:0,,171.89671_@_12.194,2.969394223,2.276506968,2.857975114,3.563887292,2.482750621,3.637769948,3.412175585,3.216797653,3.01148001,3.709187491,3.144191154,4.08060003,3.195823067,3.71104087,3.845615943,3.745056168,3.239443627,3.753619507,2.891689433,3.422343205,3.999412925,3.433747325,3.767617127,3.400534639,3.753217589,3.326695682,2.839759691,3.760262728,3.693809036,3.606094409,2.944054736,2.992988544,3.810504853,3.676665523,3.042966781,3.537245609,3.752609126,3.236460028,3.203660213,3.70659821,0.527072686,2.916940899,0.389724964,0.012924485,0.202044819,0.191676545,381,0.000556659,-0.012367826,0
13501,13501,2.097,402.23203,Unknown,[M+H]+,ion correlated with 15828; ion correlated with 22045,0.034,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,10.73,Cornell_Pos_S-22,402.23203:1397520 403.23538:247379 404.23874:0,,395.17139_@_11.065,4.405829401,3.949561307,4.309887286,4.489072851,3.399691771,3.468261527,3.650516392,3.575161423,2.801280534,4.49900111,4.338515811,4.008425586,4.528854144,4.006762374,3.151957944,3.490679179,3.831903509,3.177693073,3.730793651,3.467980678,4.352004608,3.289826322,3.765479861,3.371760118,3.501087636,3.628541141,3.040556956,3.306652253,3.539115165,3.450369806,3.747082479,3.575639525,4.315185964,4.094506488,3.254871372,3.743241165,4.611656533,3.379382526,3.241295757,4.254838778,-0.605516234,4.288587711,-0.389691566,0.012932899,0.232138345,0.220225771,382,0.000558121,-0.012374779,0
33589,33589,12.693,977.74731,Unknown,[M+H]+,,0.247,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,48.25,Cornell_Pos_S-50,977.74731:1930211 978.75066:1251693 979.75402:411199,,941.4552_@_2.095,6.593189305,5.318712196,5.406399728,6.578666143,5.423903268,4.34166795,5.969592236,6.048599787,4.671638351,4.066706949,3.904555475,5.247722036,6.067278471,4.932277075,4.608721932,5.33488175,4.886505875,4.871099921,5.207078011,4.060387186,3.582792406,5.831137632,5.294928474,6.049576544,5.209737283,4.894949952,4.209141204,4.999788768,5.236734912,4.913567078,4.273146031,3.090717271,3.53099053,5.657169146,3.44210509,4.556048124,6.356867551,4.206811275,3.546644754,5.30634504,-1.145580306,5.974241843,-0.389626497,0.012949305,0.439270598,0.41672868,383,0.000559582,-0.012389724,0
14076,14076,2.075,412.14886,w/o MS2:Altanserin,[M+H]+,,0.034,FALSE,2.64,412.14828,C22H22FN3O2S,Alkyl-phenylketones,SMYALUSCZJXWHG-UHFFFAOYSA-N,O=C1C=2C=CC=CC2N=C(S)N1CCN3CCC(C(=O)C4=CC=C(F)C=C4)CC3,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,98.3,100,,,,176.74,Cornell_Pos_S-24,412.14886:4954180 413.15221:447065 414.15557:398304,,406.07675_@_2.197,2.53842512,3.995161426,1.477676962,4.728152799,3.978416873,3.927980025,4.433526499,4.42179423,5.474509318,5.926251008,5.169502353,5.818205601,4.390793968,4.413400151,4.045000707,3.585174083,3.893919081,4.574671822,4.405407159,3.590458213,5.272138206,3.145980901,4.190966594,3.965156235,3.492217166,3.876213538,3.214509636,3.721537135,4.820006484,4.14367464,3.870895134,5.107937233,5.49960935,4.534359025,3.926704996,3.703894519,4.29370377,4.192273261,2.985682398,5.300061005,1.129216265,3.184854077,0.389416317,0.013002419,0.433271354,0.411037297,384,0.000561043,-0.012441377,0
6164,6164,18.934,258.28088,"w/o MS2:N,N-Dimethyltetradecylamine-N-oxide",[M+H]+,,0.843,FALSE,12.556,258.27911,C16H35NO,Long-chain alkyl amine oxides,ONHFWHCMZAJCFB-UHFFFAOYSA-N,CCCCCCCCCCCCCC[N+](C)(C)[O-],530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,85,99.8,,,,26.33,Cornell_Pos_S-42_R,258.28088:7459629 259.28423:1232076 260.28759:116032,,250.07942_@_1.912,3.688658243,3.573589731,3.002530007,4.786752639,5.562734175,4.187703043,6.641530259,3.272179212,5.007595029,4.844894202,4.877331022,6.075705282,5.647073243,3.685285763,3.383261602,5.094165026,4.352068927,4.32358961,5.575661073,5.256393189,4.45367287,4.082248819,4.969851579,4.712158061,5.222382431,5.797212459,4.100727022,4.457458293,3.822577169,6.241548927,4.564124447,6.325570497,5.556123695,5.975414467,4.957787349,4.59281102,4.645134608,5.163296511,3.79769537,5.769611215,1.153633386,3.762882655,0.389311945,0.013028864,0.442779888,0.420057884,385,0.000562504,-0.01246636,0
16294,16294,1.884,456.0954,w/o MS2:AVE2865,[M+H]+,,0.09,FALSE,18.374,456.0932,C20H17ClF3N3O4,N-benzoyl-N'-phenylureas,KAJJGOCSAXKXBD-UHFFFAOYSA-N,OC(=O)C1CCN(CC1)C1=C(NC(=O)NC(=O)C2=CC(F)=C(F)C=C2Cl)C=C(F)C=C1,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,77.8,98.6,,,,14.74,Cornell_Pos_S-05_R,456.0954:1212418 457.09875:412135 458.10211:501862,,448.05432_@_1.693,6.017013951,5.62210564,5.749203883,6.213276099,5.287563082,5.274780915,4.690720413,4.773005206,4.481492604,4.165624218,4.278671242,4.815625805,5.681993821,5.851097942,5.678264077,5.374757437,5.467840386,5.536102278,5.427038432,5.156109872,4.573689445,5.73873141,5.387850666,5.720844356,5.028429696,5.274237177,5.306046213,5.779586849,4.462963498,5.608287456,5.477477621,5.264127949,3.34213142,4.951325882,5.412772492,5.876773571,5.273296371,4.842214726,5.670645683,4.514237336,-0.749112184,5.900399893,-0.389120997,0.013077361,0.28768554,0.272922467,386,0.000563965,-0.012513397,0
33257,33257,15.408,946.84314,Unknown,[M+4H]4+,,0.067,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,28.1,Cornell_Pos_QC100_5,946.84314:497609 947.84649:891344 948.84985:0,,915.32397_@_1.974,2.590214538,3.806172668,2.902426573,2.821528327,4.126744586,3.87207837,3.694806717,3.448661663,5.097986844,5.105365394,4.393781837,5.140755508,4.345084817,3.291191932,3.349169846,3.650069347,3.263501478,3.385136179,3.825845186,4.427759851,5.143618568,3.68930309,3.853607612,3.77508424,2.587446186,3.427702023,3.404673882,4.29993809,3.4310156,3.749096052,3.62942331,4.697407906,5.20405597,3.240497964,3.562672353,3.772244389,4.668853522,3.215511409,3.832482723,3.57972551,0.891645028,3.030085527,0.389114418,0.013079035,0.342430009,0.32485763,387,0.000565426,-0.012513609,0
