,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-14_LMH_PS_PMM,0_Cornell_Pos_S-15_LMT_LMH_PS_PMM,0_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP,0_Cornell_Pos_S-19_LMH_PS_PMM,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP,0_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP,0_Cornell_Pos_S-42_LMT_LMH_PS_PMM,0_Cornell_Pos_S-50_LMH_LCT_PS_PMM,1_Cornell_Pos_S-01_LMT_PS_PMM,1_Cornell_Pos_S-03_LCC_PS,1_Cornell_Pos_S-04_LMT_PS_PMM,1_Cornell_Pos_S-05_O,1_Cornell_Pos_S-06_O,1_Cornell_Pos_S-07_O,1_Cornell_Pos_S-08_LMT_PS_PMM,1_Cornell_Pos_S-09_LMT_PS_PMM_RP,1_Cornell_Pos_S-13_O,1_Cornell_Pos_S-18_O,1_Cornell_Pos_S-20_O,1_Cornell_Pos_S-21_LMT_PS_PMM,1_Cornell_Pos_S-22_O,1_Cornell_Pos_S-23_O,1_Cornell_Pos_S-25_O,1_Cornell_Pos_S-26_O,1_Cornell_Pos_S-28_LMT_PS_PMM,1_Cornell_Pos_S-29_RP,1_Cornell_Pos_S-30_O,1_Cornell_Pos_S-31_LMT_PS_PMM,1_Cornell_Pos_S-33_O,1_Cornell_Pos_S-34_O,1_Cornell_Pos_S-36_O,1_Cornell_Pos_S-37_O,1_Cornell_Pos_S-38_O,1_Cornell_Pos_S-41_O,1_Cornell_Pos_S-43_RP,1_Cornell_Pos_S-44_O,1_Cornell_Pos_S-46_O,1_Cornell_Pos_S-48_O,1_Cornell_Pos_S-49_O,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
19653,19653,8.985,366.20096,Unknown,[M-H]-,,0.044,TRUE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,235.27,Cornell_Neg_S-15,366.20087:1515710 367.20422:0 368.20758:681276864,50.98592:10884 56.0577:10019 57.0349:19603 59.01416:28852 67.05569:34698 72.91069:10353 75.43823:9759 80.86264:9589 95.05087:16415 97.06674:10628 107.05032:13214 109.06583:57720 121.06621:13435 129.09239:55649 135.08228:38723 149.09761:9488 159.08287:21429 161.09782:21481 163.11412:20793 171.11795:10689 174.10576:16106 175.11333:179741 176.11755:15845 177.12982:14133 187.11475:16905 189.12886:766023 190.13266:70644 195.10429:9302 201.13028:9690 207.10361:39390 209.11771:11633 212.45416:10094 220.11052:11940 221.11938:37210 222.12508:39592 223.13475:98942 224.13681:13039 231.10208:12082 231.13988:11478 233.11894:105157 233.15187:15604 234.1212:14420 235.13408:89190 243.17569:220177 243.2049:12625 250.11694:11156 256.17761:12885 259.17111:10805 268.17926:42904 269.19147:90862 273.15176:26280 286.18945:44262 287.16629:73065 287.20221:874642 305.17712:20919 313.1814:67331 330.18073:15134 331.19272:437816 348.19183:15594 349.20297:338539 362.1897:12580 366.19812:25091,391.14816,4.278754633,3.205541652,3.550128403,3.777841695,5.357192293,5.338949278,3.426462641,5.854734355,4.72929871,3.677219938,5.802379262,5.319505028,4.304033782,3.746375674,5.255748761,6.172205084,4.966784482,4.254527571,4.481564443,3.590822536,4.093699014,5.247580506,5.202465158,5.758455795,4.721670498,5.992787832,4.256643381,4.50703236,6.004683064,5.576960096,5.722517931,5.52182822,5.976113277,6.311682038,4.990851446,3.668584197,4.869152483,5.933798218,5.978151974,0.704045277,4.348700619,0.318258071,0.048321174,0.344770836,0.307382449,1734,0.001784097,-0.046537076,0
21608,21608,1.615,393.01205,Unknown,[M-H]-,ion correlated with 19383,0.289,TRUE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,303.53,Cornell_Neg_S-03,393.0123:1938184 394.01565:269138 395.01901:103394,71.11176:8411 90.03399:8832 90.71674:8759 115.71544:9360 131.01649:32406 189.02202:24922 217.01677:13235 231.03183:12139 249.04279:507231 277.03641:163642 321.0275:50874 350.06525:12743,421.18463,4.079928283,6.163326888,4.417082867,3.66720563,3.519958291,4.489318513,4.681228622,5.159583957,4.602577953,2.029985263,3.096516891,3.697987461,4.471711699,2.830583039,3.362295234,4.82160195,4.232856403,3.423173042,2.506345347,3.773123062,3.122332525,3.951882373,3.744387097,5.144869152,3.46330374,3.196601925,3.636632509,3.707065425,3.906173785,5.242025925,4.52907086,3.667268718,4.831684248,5.265119836,4.8314429,3.766735025,3.388577926,3.864631303,3.965771216,-0.648838524,4.522204131,-0.3183554,0.048248823,0.317628011,0.283183104,1733,0.001783069,-0.046465754,0
29652,29652,1.748,513.67609,Unknown,[M-H]-,ion correlated with 9447; ion correlated with 13006; ion correlated with 22586; ion correlated with 34790; ion correlated with 23804; ion correlated with 39621; ion correlated with 40222; ion correlated with 30401; ion correlated with 34351; ion correlated with 21316; ion correlated with 45088; ion correlated with 19662; ion correlated with 29796; ion correlated with 35876; ion correlated with 43011; ion correlated with 43628; ion correlated with 44438; ion correlated with 38595; ion correlated with 40851; ion correlated with 30901; ion correlated with 38596; ion correlated with 38281; ion correlated with 48081; ion correlated with 46793; ion correlated with 2798; ion correlated with 47224; ion correlated with 15203; ion correlated with 25536; ion correlated with 12298; ion correlated with 45235; ion correlated with 11595; ion correlated with 43164; ion correlated with 48561; ion correlated with 16873; ion correlated with 17773; ion correlated with 17970; ion correlated with 35133; ion correlated with 27913; ion correlated with 37006; ion correlated with 48450; ion correlated with 41351; ion correlated with 11543; ion correlated with 23165; ion correlated with 35687; ion correlated with 46210,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,869.98,Cornell_Neg_S-01,513.67609:43499 514.67944:0 515.6828:0,,545.10687,4.27908491,4.392741293,4.691934207,4.697038536,4.981854835,3.348987254,3.655329712,4.555565833,3.628133814,5.477960803,3.726308843,3.943439356,5.061118713,4.473800717,4.123598404,3.218972191,4.668748543,5.039172116,3.965356431,4.069278936,4.095628,3.662412,3.862752198,3.27735143,3.33438407,3.38976665,3.364871129,3.448008539,3.678986193,3.35458171,3.714447126,3.37253374,3.465254505,4.495194387,3.602671622,2.253538084,3.592702939,3.66077346,2.679256955,-0.528510505,4.325317072,-0.318419959,0.04820088,0.258665077,0.230614357,1732,0.00178204,-0.046418841,0
7894,7894,13.879,203.01582,Unknown,[M-H]-,,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,1.75,Cornell_Neg_S-44,203.01582:182076 204.01917:835285 205.02253:1179214,,215.0331,7.884432919,8.245745911,8.32596329,7.823530253,7.880800666,5.472858796,5.508424668,7.853056576,7.722895301,8.171987174,7.918410482,7.978138666,7.149177083,6.43449585,7.519044915,7.470147115,7.491080152,7.630501251,7.644648615,7.479635275,7.367026347,7.456557141,7.47496837,5.447354195,5.640058863,4.412774285,5.050569211,5.376625311,5.215944078,5.173253302,5.643001368,5.336638818,5.550307253,5.863943517,5.719428661,5.592133437,6.055118097,5.494339687,5.709395481,-0.916622625,7.374351635,-0.318476709,0.048158768,0.448527027,0.399886885,1731,0.001781011,-0.046377758,0
40821,40821,11.413,753.51349,Unknown,[M-H]-,,0.911,TRUE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,595.05,Cornell_Neg_Blank1,753.51367:746090 754.51702:259902 755.52038:65236,88.08394:1695 108.34821:1921 130.0881:2226 181.28966:2159 225.16162:18359 338.24661:3545 409.75903:2270 659.48132:4252 677.49811:675984,811.10608,3.982872508,3.271858212,3.818576073,3.867779608,3.696595979,3.504726866,3.534880772,3.8159036,3.671879497,3.872682126,3.529202901,3.503984129,3.649706864,3.371852555,3.545746647,3.452144209,3.365166404,3.26143009,3.562451873,3.592822823,3.297466163,3.292809326,3.744443962,3.497123568,3.507635558,3.74247241,3.759943647,3.817464812,3.447772646,2.995532563,3.197378987,3.821876239,3.177549449,2.612179221,3.660185302,3.82708733,3.125209492,2.809610147,3.268542205,-0.23563781,3.686649202,-0.318501269,0.048140553,0.115293747,0.102790812,1730,0.001779982,-0.046360571,0
39060,39060,0.139,715.04163,Unknown,[M-H]-,ion correlated with 5534; ion correlated with 36305; ion correlated with 673; ion correlated with 3313; ion correlated with 24001; ion correlated with 24135; ion correlated with 35505; ion correlated with 36083; ion correlated with 38804; ion correlated with 8287; ion correlated with 13515; ion correlated with 888; ion correlated with 1740; ion correlated with 2315; ion correlated with 3735; ion correlated with 9371; ion correlated with 10462; ion correlated with 11445; ion correlated with 11456; ion correlated with 12321; ion correlated with 12456; ion correlated with 13778; ion correlated with 13927; ion correlated with 14055; ion correlated with 14426; ion correlated with 14477; ion correlated with 14564; ion correlated with 15414; ion correlated with 17067; ion correlated with 17075; ion correlated with 18379; ion correlated with 18671; ion correlated with 20767; ion correlated with 21180; ion correlated with 26036; ion correlated with 26649; ion correlated with 26795; ion correlated with 28539; ion correlated with 28687; ion correlated with 28904; ion correlated with 29795; ion correlated with 30343; ion correlated with 30743; ion correlated with 30829; ion correlated with 31493; ion correlated with 31603; ion correlated with 32492; ion correlated with 32812; ion correlated with 33185; ion correlated with 34135; ion correlated with 34305; ion correlated with 34838; ion correlated with 35150; ion correlated with 35364; ion correlated with 35991; ion correlated with 36155; ion correlated with 37255; ion correlated with 37635; ion correlated with 40049; ion correlated with 40832; ion correlated with 42841; ion correlated with 12170; ion correlated with 16669; ion correlated with 33733; ion correlated with 24550; ion correlated with 2662; ion correlated with 23107; ion correlated with 11189; ion correlated with 15687; ion correlated with 17844; ion correlated with 30217; ion correlated with 12061; ion correlated with 2282; ion correlated with 2463; ion correlated with 3865; ion correlated with 5564; ion correlated with 5746; ion correlated with 7160; ion correlated with 7367; ion correlated with 8285; ion correlated with 8549; ion correlated with 8691; ion correlated with 8808; ion correlated with 9549; ion correlated with 9950; ion correlated with 10091; ion correlated with 10304; ion correlated with 10415; ion correlated with 10570; ion correlated with 10851; ion correlated with 12494; ion correlated with 12640; ion correlated with 13207; ion correlated with 13669; ion correlated with 14843; ion correlated with 15096; ion correlated with 15218; ion correlated with 15364; ion correlated with 15627; ion correlated with 15727; ion correlated with 15779; ion correlated with 16122; ion correlated with 16132; ion correlated with 16936; ion correlated with 17197; ion correlated with 17338; ion correlated with 17474; ion correlated with 17592; ion correlated with 17879; ion correlated with 17993; ion correlated with 18516; ion correlated with 18688; ion correlated with 18841; ion correlated with 18988; ion correlated with 18992; ion correlated with 19384; ion correlated with 19515; ion correlated with 20409; ion correlated with 20634; ion correlated with 21095; ion correlated with 21217; ion correlated with 21479; ion correlated with 22109; ion correlated with 22589; ion correlated with 22658; ion correlated with 22954; ion correlated with 23358; ion correlated with 23876; ion correlated with 24007; ion correlated with 24144; ion correlated with 24422; ion correlated with 25060; ion correlated with 25460; ion correlated with 26172; ion correlated with 26721; ion correlated with 27377; ion correlated with 28052; ion correlated with 28556; ion correlated with 28700; ion correlated with 28834; ion correlated with 29242; ion correlated with 29366; ion correlated with 29485; ion correlated with 29603; ion correlated with 29959; ion correlated with 30508; ion correlated with 30665; ion correlated with 31320; ion correlated with 31437; ion correlated with 31543; ion correlated with 31665; ion correlated with 31863; ion correlated with 31981; ion correlated with 32104; ion correlated with 32205; ion correlated with 32392; ion correlated with 32728; ion correlated with 32905; ion correlated with 33005; ion correlated with 33096; ion correlated with 33486; ion correlated with 33595; ion correlated with 33790; ion correlated with 33874; ion correlated with 33956; ion correlated with 34046; ion correlated with 34218; ion correlated with 34632; ion correlated with 34788; ion correlated with 34876; ion correlated with 34967; ion correlated with 35370; ion correlated with 35697; ion correlated with 35909; ion correlated with 36092; ion correlated with 36249; ion correlated with 36341; ion correlated with 36400; ion correlated with 36560; ion correlated with 36782; ion correlated with 36937; ion correlated with 37333; ion correlated with 37512; ion correlated with 38098; ion correlated with 38289; ion correlated with 38560; ion correlated with 38731; ion correlated with 38886; ion correlated with 39508; ion correlated with 39921; ion correlated with 40537; ion correlated with 40708; ion correlated with 40792; ion correlated with 41095; ion correlated with 41658; ion correlated with 41813; ion correlated with 42077; ion correlated with 42596; ion correlated with 42727; ion correlated with 45730; ion correlated with 46916; ion correlated with 20271; ion correlated with 22288; ion correlated with 26857; ion correlated with 18335; ion correlated with 28584; ion correlated with 24288; ion correlated with 7254; ion correlated with 18215; ion correlated with 26304; ion correlated with 31084; ion correlated with 29942; ion correlated with 5394; ion correlated with 6624; ion correlated with 7659; ion correlated with 8985; ion correlated with 9391; ion correlated with 10623; ion correlated with 10786; ion correlated with 10939; ion correlated with 11608; ion correlated with 11623; ion correlated with 12310; ion correlated with 12831; ion correlated with 12879; ion correlated with 13135; ion correlated with 13792; ion correlated with 14077; ion correlated with 14174; ion correlated with 14262; ion correlated with 14331; ion correlated with 14534; ion correlated with 14986; ion correlated with 15282; ion correlated with 15541; ion correlated with 15987; ion correlated with 16277; ion correlated with 16420; ion correlated with 16546; ion correlated with 16805; ion correlated with 16931; ion correlated with 17707; ion correlated with 18112; ion correlated with 18174; ion correlated with 18509; ion correlated with 19123; ion correlated with 19249; ion correlated with 19262; ion correlated with 19265; ion correlated with 19497; ion correlated with 19922; ion correlated with 20044; ion correlated with 20349; ion correlated with 20961; ion correlated with 21610; ion correlated with 23475; ion correlated with 23742; ion correlated with 24688; ion correlated with 24814; ion correlated with 25051; ion correlated with 25188; ion correlated with 25199; ion correlated with 25331; ion correlated with 25452; ion correlated with 25606; ion correlated with 26934; ion correlated with 27003; ion correlated with 27071; ion correlated with 28273; ion correlated with 28402; ion correlated with 28414; ion correlated with 29732; ion correlated with 29851; ion correlated with 30076; ion correlated with 30972; ion correlated with 31202; ion correlated with 31259; ion correlated with 31372; ion correlated with 32478; ion correlated with 32609; ion correlated with 33359; ion correlated with 34644; ion correlated with 35284; ion correlated with 35552; ion correlated with 39963; ion correlated with 40374; ion correlated with 42214; ion correlated with 42517; ion correlated with 44644; ion correlated with 22167; ion correlated with 19697; ion correlated with 17692; ion correlated with 36364; ion correlated with 36902; ion correlated with 13017; ion correlated with 35319; ion correlated with 1864; ion correlated with 4336; ion correlated with 5265; ion correlated with 5382; ion correlated with 6702; ion correlated with 7305; ion correlated with 8344; ion correlated with 8800; ion correlated with 9364; ion correlated with 9535; ion correlated with 9893; ion correlated with 12114; ion correlated with 15054; ion correlated with 16650; ion correlated with 18054; ion correlated with 19679; ion correlated with 20192; ion correlated with 20835; ion correlated with 21839; ion correlated with 22887; ion correlated with 26998; ion correlated with 27510; ion correlated with 34747; ion correlated with 34864; ion correlated with 45945; ion correlated with 12868; ion correlated with 9793; ion correlated with 20629; ion correlated with 23226; ion correlated with 33132; ion correlated with 17832; ion correlated with 6385; ion correlated with 14714; ion correlated with 20700; ion correlated with 26430; ion correlated with 27660; ion correlated with 6180; ion correlated with 6237; ion correlated with 8213; ion correlated with 9616; ion correlated with 9663; ion correlated with 10650; ion correlated with 11719; ion correlated with 14444; ion correlated with 14496; ion correlated with 14692; ion correlated with 14786; ion correlated with 15622; ion correlated with 16478; ion correlated with 16531; ion correlated with 20503; ion correlated with 22588; ion correlated with 22651; ion correlated with 23730; ion correlated with 25406; ion correlated with 25745; ion correlated with 25903; ion correlated with 26500; ion correlated with 26546; ion correlated with 27185; ion correlated with 27502; ion correlated with 27599; ion correlated with 29167; ion correlated with 29422; ion correlated with 29543; ion correlated with 32175; ion correlated with 32437; ion correlated with 32651; ion correlated with 33643; ion correlated with 34676; ion correlated with 35891; ion correlated with 36522; ion correlated with 36548; ion correlated with 38462; ion correlated with 39867; ion correlated with 5932; ion correlated with 6094; ion correlated with 6230; ion correlated with 24945; ion correlated with 2762; ion correlated with 2891; ion correlated with 3635; ion correlated with 4042; ion correlated with 4605; ion correlated with 4805; ion correlated with 6882; ion correlated with 6922; ion correlated with 7580; ion correlated with 8404; ion correlated with 10799; ion correlated with 11640; ion correlated with 12483; ion correlated with 12631; ion correlated with 12823; ion correlated with 13508; ion correlated with 13656; ion correlated with 14556; ion correlated with 14833; ion correlated with 15277; ion correlated with 15346; ion correlated with 15515; ion correlated with 15676; ion correlated with 15938; ion correlated with 15980; ion correlated with 16607; ion correlated with 17182; ion correlated with 17406; ion correlated with 17467; ion correlated with 17527; ion correlated with 17578; ion correlated with 17781; ion correlated with 17788; ion correlated with 18441; ion correlated with 18496; ion correlated with 19063; ion correlated with 19111; ion correlated with 19838; ion correlated with 19893; ion correlated with 21030; ion correlated with 21081; ion correlated with 21158; ion correlated with 21205; ion correlated with 21755; ion correlated with 21898; ion correlated with 23541; ion correlated with 23544; ion correlated with 24414; ion correlated with 25269; ion correlated with 25535; ion correlated with 25968; ion correlated with 26297; ion correlated with 26711; ion correlated with 27127; ion correlated with 27233; ion correlated with 27649; ion correlated with 27786; ion correlated with 27864; ion correlated with 27916; ion correlated with 27992; ion correlated with 28042; ion correlated with 29094; ion correlated with 29225; ion correlated with 29297; ion correlated with 29844; ion correlated with 29901; ion correlated with 29943; ion correlated with 31811; ion correlated with 31923; ion correlated with 32093; ion correlated with 32143; ion correlated with 32198; ion correlated with 32857; ion correlated with 32858; ion correlated with 32893; ion correlated with 33632; ion correlated with 33685; ion correlated with 33744; ion correlated with 33780; ion correlated with 34016; ion correlated with 34174; ion correlated with 34397; ion correlated with 35247; ion correlated with 35292; ion correlated with 35399; ion correlated with 35658; ion correlated with 36220; ion correlated with 36312; ion correlated with 37370; ion correlated with 37670; ion correlated with 38594; ion correlated with 40527; ion correlated with 41458; ion correlated with 42969; ion correlated with 6712; ion correlated with 20562; ion correlated with 30362; ion correlated with 6241; ion correlated with 24139; ion correlated with 20557; ion correlated with 28971; ion correlated with 3439; ion correlated with 3585; ion correlated with 3731; ion correlated with 8539; ion correlated with 13174; ion correlated with 14398; ion correlated with 18826; ion correlated with 18973; ion correlated with 21325; ion correlated with 21745; ion correlated with 22031; ion correlated with 22094; ion correlated with 22153; ion correlated with 26158; ion correlated with 27448; ion correlated with 30153; ion correlated with 30427; ion correlated with 32546; ion correlated with 32860; ion correlated with 35878; ion correlated with 37547; ion correlated with 37957; ion correlated with 38040; ion correlated with 38178; ion correlated with 22973; ion correlated with 22386; ion correlated with 20113; ion correlated with 25340; ion correlated with 22816; ion correlated with 25758; ion correlated with 18220; ion correlated with 21772; ion correlated with 26044; ion correlated with 22397; ion correlated with 25197; ion correlated with 3856; ion correlated with 6365; ion correlated with 7359; ion correlated with 8680; ion correlated with 9944; ion correlated with 16262; ion correlated with 25808; ion correlated with 28349; ion correlated with 30899; ion correlated with 31135; ion correlated with 32657; ion correlated with 33303; ion correlated with 33535; ion correlated with 33941; ion correlated with 33988; ion correlated with 37004; ion correlated with 14450; ion correlated with 23602; ion correlated with 21333; ion correlated with 22045; ion correlated with 11769; ion correlated with 20850; ion correlated with 2813; ion correlated with 2937; ion correlated with 3062; ion correlated with 6354; ion correlated with 6576; ion correlated with 6777; ion correlated with 7432; ion correlated with 8895; ion correlated with 10056; ion correlated with 10165; ion correlated with 10225; ion correlated with 10375; ion correlated with 10534; ion correlated with 13123; ion correlated with 13336; ion correlated with 18100; ion correlated with 19374; ion correlated with 20403; ion correlated with 21472; ion correlated with 23222; ion correlated with 23347; ion correlated with 28113; ion correlated with 28222; ion correlated with 30015; ion correlated with 31024; ion correlated with 33043; ion correlated with 8427; ion correlated with 11525; ion correlated with 5866; ion correlated with 10334; ion correlated with 11258; ion correlated with 12252; ion correlated with 13498; ion correlated with 13649; ion correlated with 13774; ion correlated with 16065; ion correlated with 16355; ion correlated with 19200; ion correlated with 22277; ion correlated with 24487; ion correlated with 32145; ion correlated with 21911,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,7.39,Cornell_Neg_QC100_1,715.04163:152706 716.04498:111144 717.04834:0,,764.17651,3.894166733,4.898785496,4.16602935,4.188827816,4.098015314,3.342476495,3.501480366,3.109281892,3.35017689,4.057857377,3.105666732,3.178139767,4.131777792,3.879893822,3.755673743,3.758920749,3.625204858,4.23510165,4.187718482,3.541269312,4.614092933,2.889658872,2.401298338,3.515253095,3.458893716,3.334385687,3.433443512,2.938064321,3.236086549,3.738024207,3.20820178,4.105455565,3.040794151,3.080633991,2.81330878,3.488764755,3.43388209,3.242794305,3.543098035,-0.405575324,3.899882933,-0.318527759,0.048120911,0.19842304,0.176905218,1729,0.001778953,-0.046341958,0
26447,26447,12.641,465.13565,Unknown,[M-H]-,,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,5.03,Cornell_Neg_S-04,465.13565:71048 466.139:0 467.14236:39981,,495.11871,4.18402581,4.502007087,3.647697305,4.379504939,3.991252091,5.316490348,4.758866493,5.090143469,3.588665983,4.055986864,3.664717874,5.065979097,3.872770329,4.646124237,4.724312742,5.018617293,4.836956737,4.163698333,5.157627491,4.079416425,4.736368611,5.150696586,5.360969046,6.083544005,5.599341503,6.190512383,5.714176304,5.7356899,6.102864013,6.33778481,4.635428451,5.782239289,5.074675674,5.101748792,5.612662025,5.487874072,5.474187845,5.472576553,4.511923448,0.582062419,4.483748443,0.318547625,0.048106186,0.284747547,0.253868335,1728,0.001777924,-0.046328262,0
39684,39684,1.906,729.02112,Unknown,[M-H]-,,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,27.54,Cornell_Neg_S-49_R2,729.02112:104113 730.02447:0 731.02783:1263436,,779.56891,4.291879224,6.214415963,4.432290531,4.217105832,4.396016172,3.828238607,3.32564598,3.964742198,4.66950548,4.885745581,4.416732016,4.026933256,4.819692357,4.469855767,4.636282235,3.718940817,3.562010346,4.434728542,4.059037996,4.034859812,4.957846634,4.196514412,3.216272046,3.361171574,2.995058151,2.972361741,3.50335665,3.19750055,3.412929698,3.655047557,2.740496973,3.635996188,3.745288522,3.495901662,3.584445446,3.313738446,3.133723272,3.347772043,3.396126412,-0.540376582,4.333791813,-0.31856162,0.048095814,0.264341723,0.235675404,1727,0.001776895,-0.046318919,0
22170,22170,3.204,401.04071,Unknown,[M-H]-,,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,13.53,Cornell_Neg_S-49,401.04071:82951 402.04406:0 403.04742:0,,430.11182,3.868247465,4.50937056,5.106143282,4.209152952,4.294719674,3.346269154,4.98142329,4.505929651,5.113067989,3.416966505,4.028795909,3.856152651,3.859708134,4.539699347,3.8303057,3.527464877,4.192585574,3.848950704,4.279912495,3.851180757,4.289962203,4.355160615,4.178494309,3.860051003,3.735200943,3.238628639,4.131792317,3.250810275,4.28886378,4.695793454,3.687695931,4.474034055,3.276269209,4.457741321,4.391800091,3.103386363,3.477771591,3.569255523,3.566421517,-0.405111075,4.352657004,-0.318593638,0.048072093,0.1981503,0.176662055,1726,0.001775866,-0.046296227,0
29241,29241,1.783,507.01297,Unknown,[M-H]-,ion correlated with 6711; ion correlated with 25341; ion correlated with 36483; ion correlated with 38380; ion correlated with 38805; ion correlated with 33484; ion correlated with 33695; ion correlated with 39962; ion correlated with 44076; ion correlated with 21769; ion correlated with 20852; ion correlated with 24693; ion correlated with 29099; ion correlated with 30509; ion correlated with 33004; ion correlated with 33870; ion correlated with 34486; ion correlated with 35280; ion correlated with 35368; ion correlated with 36555; ion correlated with 36864; ion correlated with 37018; ion correlated with 37171; ion correlated with 37596; ion correlated with 38287; ion correlated with 38955; ion correlated with 6701; ion correlated with 19698; ion correlated with 21912; ion correlated with 22661; ion correlated with 23104; ion correlated with 26719; ion correlated with 28051; ion correlated with 30082; ion correlated with 35067; ion correlated with 36933; ion correlated with 14337; ion correlated with 22163; ion correlated with 23872; ion correlated with 24006; ion correlated with 24286; ion correlated with 25755; ion correlated with 26045; ion correlated with 26553; ion correlated with 27245; ion correlated with 6386; ion correlated with 22818; ion correlated with 22972; ion correlated with 26305; ion correlated with 29362; ion correlated with 24140; ion correlated with 23739; ion correlated with 25198; ion correlated with 35624,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,11.89,Cornell_Neg_QC100_1,507.01297:270176 508.01632:139141 509.01968:111529,,537.88208,3.795791692,5.235493568,4.062364608,3.664715927,3.54187603,3.513041626,3.318090751,3.167013264,3.302439888,3.438852339,3.570428003,3.794271374,3.639705747,2.992935453,3.763652294,3.257354079,3.37632346,3.474787753,3.811595693,3.182692884,2.677073469,3.394549561,3.727866165,2.876792731,3.257279649,3.64417024,3.181673941,3.78134086,3.578328722,3.81081877,3.908813955,3.481539855,3.675220571,3.517729146,3.629964712,3.234399386,1.962665205,3.7337656,3.235576743,-0.370698167,3.787298433,-0.318666179,0.048018384,0.181272119,0.161614214,1725,0.001774837,-0.046243547,0
15560,15560,11.896,307.04214,Unknown,[M-H]-,,0.256,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,4.81,Cornell_Neg_S-50_R2,307.04214:435909 308.04549:0 309.04885:0,,331.04007,3.380329278,3.038916312,6.335810409,3.637475209,3.817655082,3.88743807,3.2046862,3.355338354,3.712798406,2.843564436,2.916818196,3.72103477,3.737871551,3.383060246,3.405293992,3.16965351,3.743688367,2.559554745,3.37952269,3.576001813,3.538069524,3.300388134,2.786161072,3.680614264,3.651948883,3.54825723,3.845129168,3.450344216,3.571560752,2.845947607,3.608278836,3.15734091,3.42493513,3.68159891,3.668824097,2.938324664,3.486912436,2.988166579,3.578540666,-0.448328508,3.832206114,-0.318685245,0.048004276,0.219218907,0.195445894,1724,0.001773809,-0.046230467,0
4536,4536,11.902,159.00867,Unknown,[M-H]-,,0.578,TRUE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,13.31,Cornell_Neg_Blank1,159.00871:400987 160.01206:0 161.01542:0,67.05807:8247 114.93499:15813 114.94946:38407 116.92869:68252 131.01413:46176 158.94:46646 159.00888:14325,165.57474,3.669386495,4.853528648,3.47853247,3.047341795,4.119088025,3.607930354,3.721169276,3.550445812,3.615364688,3.238275987,3.364888596,3.286791,4.053438532,3.477313243,3.443544417,2.346905802,3.60538751,3.105656545,3.706714348,3.137505765,3.629355039,3.252190897,3.073354043,4.029512021,3.795652192,3.645835419,3.686204393,3.262638064,3.640779819,3.461656693,3.432133212,3.883619803,3.72720093,3.23890915,3.275306021,3.583098041,3.358200492,3.491646604,2.936342213,-0.311236844,3.755927859,-0.318719646,0.047978829,0.152167,0.135665375,1723,0.00177278,-0.046206049,0
