,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-01_LMT_PS_PMM_R1,0_Cornell_Pos_S-04_LMT_PS_PMM_R1,0_Cornell_Pos_S-08_LMT_PS_PMM_R1,0_Cornell_Pos_S-09_LMT_PS_PMM_RP_R1,0_Cornell_Pos_S-14_LMH_PS_PMM_R1,0_Cornell_Pos_S-15_LMT_LMH_PS_PMM_R1,0_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-19_LMH_PS_PMM_R1,0_Cornell_Pos_S-21_LMT_PS_PMM_R1,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-28_LMT_PS_PMM_R1,0_Cornell_Pos_S-31_LMT_PS_PMM_R1,0_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-42_LMT_LMH_PS_PMM_R1,1_Cornell_Pos_S-03_LCC_PS_R1,1_Cornell_Pos_S-05_O_R1,1_Cornell_Pos_S-06_O_R1,1_Cornell_Pos_S-07_O_R1,1_Cornell_Pos_S-13_O_R1,1_Cornell_Pos_S-18_O_R1,1_Cornell_Pos_S-20_O_R1,1_Cornell_Pos_S-22_O_R1,1_Cornell_Pos_S-23_O_R1,1_Cornell_Pos_S-25_O_R1,1_Cornell_Pos_S-26_O_R1,1_Cornell_Pos_S-29_RP_R1,1_Cornell_Pos_S-30_O_R1,1_Cornell_Pos_S-33_O_R1,1_Cornell_Pos_S-34_O_R1,1_Cornell_Pos_S-36_O_R1,1_Cornell_Pos_S-37_O_R1,1_Cornell_Pos_S-38_O_R1,1_Cornell_Pos_S-41_O_R1,1_Cornell_Pos_S-43_RP_R1,1_Cornell_Pos_S-44_O_R1,1_Cornell_Pos_S-46_O_R1,1_Cornell_Pos_S-47_RP_R1,1_Cornell_Pos_S-48_O_R1,1_Cornell_Pos_S-49_O_R1,1_Cornell_Pos_S-50_LMH_LCT_PS_PMM_R1,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
23870,23870,10.42,611.44727,Unknown,[M+H]+,similar chromatogram in higher mz_25869,0.191,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,19.17,Cornell_Pos_S-47,611.44727:1053550 612.45062:227913 613.45398:0,,602.18854_@_11.874,2.885191855,3.057066495,2.005506511,3.418051174,3.433952631,3.190707603,1.972385243,3.744803948,2.334954621,3.178461473,3.821683419,3.115069384,3.447311227,3.784301507,3.283053483,4.842328866,4.222059936,3.591258069,4.391215204,3.285130724,4.057999378,3.595050033,2.635775917,3.475765453,3.696271361,3.63326591,3.046166354,3.962869261,3.553739362,3.082776571,3.252982666,3.727695489,4.817524927,3.552477271,2.957517828,3.724109369,3.642767253,3.136739367,4.167407561,3.716247868,0.556530529,3.099246221,0.436040963,0.004914349,0.186327561,0.150222082,60,8.77E-05,-0.004826689,0
32704,32704,2.019,904.05176,Unknown,[M+H]+,,0.236,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,27.04,Cornell_Pos_S-26,904.05176:2150932 905.05511:401353 906.05847:590356,,877.82953_@_1.957,3.802366803,3.096804303,4.814038734,2.880241379,3.897251977,3.439429816,3.250363304,3.432205657,2.774732005,3.844321755,3.534822409,3.5264338,3.506996908,4.47385998,3.820339509,4.556151713,3.719787601,4.430260467,5.41595383,3.80235439,3.602042217,4.255310721,4.280527617,4.754864763,4.493699107,3.703188026,4.130128629,4.14676497,4.417506095,4.886251344,3.552198688,4.274369864,4.574376593,4.921566547,3.635336769,3.643154614,2.498735893,4.386676499,3.808784321,4.477376242,0.570075024,3.590990631,0.435548478,0.004968662,0.191128729,0.154092908,61,8.91E-05,-0.00487954,0
18426,18426,2.039,497.19379,"w/o MS2:2,7,7,11,15,17-hexamethyl-18-methylidene-5,13,16-trioxo-6,14-dioxatetracyclo[9.8.0.0?,?.0??,??]nonadec-3-en-10-yl acetate",[M+NH4]+,adduct linked to 17518_[M+H]+,0.157,FALSE,,497.1936,C26H34O7,Naphthopyrans,JFYYCQXZVIOBKU-UHFFFAOYSA-N,O=C1OC(C)(C)C2CC(OC(=O)C)C3(C)C4C(=O)OC(C(=O)C4(C(=C)CC3C2(C=C1)C)C)C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,99.8,,,,,42.91,Cornell_Pos_S-29,497.19379:901714 498.19714:7070510 499.2005:1295725,,489.18146_@_13.309,4.481590147,4.433840312,5.060809613,4.73765672,5.162421384,4.948634415,4.723178344,4.956412004,4.963220063,4.944267692,4.805638447,5.20278478,5.281130432,4.994575934,4.572085235,4.578963284,4.779198188,4.783947198,4.978866813,4.63851919,4.504869128,4.792520903,4.612598587,4.622724318,4.466572345,4.862382552,4.952523762,4.878054554,4.774238046,4.191248844,4.347597918,4.581511864,5.164593636,4.332104907,4.862084076,4.585519454,4.646187037,4.270707266,5.005721426,4.565303535,-0.239536128,4.906868592,-0.435016805,0.00502788,0.080430256,0.064844945,62,9.06E-05,-0.004937297,0
6423,6423,2.043,264.04041,Unknown,[M+H]+,,0.124,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,10.88,Cornell_Pos_S-25_R,264.04041:640477 265.04376:0 266.04712:0,,256.17947_@_8.073,4.747823704,5.442599949,4.610541014,6.265300602,4.811124735,5.826488236,4.856224696,4.828058581,4.968776213,4.979573357,5.353312897,4.321718856,6.099384262,5.961661559,4.42500179,4.174292792,6.048168081,4.102520277,4.5207692,4.626266128,5.053211081,4.385495033,4.740032653,4.625503797,5.126892588,3.725595051,4.70900656,4.627114598,4.863946552,4.684829302,4.592194595,4.379222405,5.127960947,5.835069784,4.720433677,4.565097485,4.666104912,4.948761877,4.518329673,4.357443109,-0.521422005,5.219470619,-0.434954794,0.005034826,0.175111288,0.141179234,63,9.20E-05,-0.004942783,0
25845,25845,1.994,663.18445,Unknown,[M+H]+,,0.067,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,79.2,Cornell_Pos_S-33_R,663.18445:979260 664.1878:602313 665.19116:0,,652.93512_@_2.121,4.633844259,3.215098871,3.952890451,2.710946439,2.675106833,4.465896856,3.753438759,3.930278036,3.446460803,3.3620147,3.415605646,3.617382937,3.898500021,3.494464895,4.545744849,3.684540183,4.693278465,4.006276758,4.119284834,3.667786176,3.853759396,4.631308246,4.530922656,3.960528348,3.595072539,4.2612744,3.771968591,4.363226863,4.450869063,5.030710923,3.963789416,3.760327214,2.958045546,4.224538575,3.766599063,3.953757063,4.07432114,4.222252808,3.744348391,5.276536299,0.507375775,3.612280679,0.433918374,0.005152166,0.170895896,0.137780676,64,9.35E-05,-0.005058662,0
32050,32050,2.217,858.81232,Unknown,[M+H]+,,0.067,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,8.15,Cornell_Pos_S-25,858.81232:900789 859.81567:0 860.81903:700824,,840.92523_@_15.622,5.602452971,5.596411086,5.875977357,5.473388446,5.882997154,5.897362406,5.971561049,5.566066848,5.908143572,5.826063541,4.844168926,5.778535649,5.677700209,5.477013537,4.966235423,5.139051526,5.591597519,5.627117931,5.215661539,5.226458904,5.675273616,5.503744847,5.713639321,5.57812869,5.730524084,5.478109573,4.51211842,5.521998422,4.778461791,5.590532983,4.61657348,5.10723675,5.342823082,5.726949248,5.791386847,5.060928103,5.388647443,5.403708248,5.241938445,5.480899611,-0.323317224,5.669845911,-0.433806313,0.005164994,0.108935375,0.087826507,65,9.50E-05,-0.005070029,0
28754,28754,12.085,737.56488,Unknown,[M+H]+,,0.112,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,207.42,Cornell_Pos_S-47,737.56488:75546464 738.56823:37993560 739.57159:8893253,,727.06256_@_15.51,4.197690756,4.365734543,4.793660411,4.330353199,4.67876299,4.63034152,5.938560579,4.68029433,4.390245256,4.802883919,4.604432799,4.611821894,4.491573914,5.915946806,4.523049576,4.627501466,3.982992429,4.217152322,4.509640259,4.220710637,4.729924338,4.088735321,4.584566942,4.249278302,4.366577129,4.419584346,4.085035871,4.695795411,3.864424884,4.216743018,4.231286349,4.294495491,4.759851893,4.608040718,4.551741373,4.384876536,4.581610213,4.507680674,4.283289673,4.468389801,-0.35851161,4.745164494,-0.433672055,0.005180399,0.120839493,0.097423914,66,9.64E-05,-0.005083973,0
21736,21736,15.238,564.36072,w/o MS2:BE-43547A,[M+H]+,,0.101,FALSE,,564.35999,C30H49N3O7,Macrolide lactams,JRGSONPJAHDIGK-VHEBQXMUSA-N,O=C(CNC(C(O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(OC(CCCCCCCCCCCCC)C1C)=O)=O)=C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,97.2,,,,,119.07,Cornell_Pos_QC100_3_20240428192327,564.36072:6435783 565.36407:0 566.36743:0,,556.4209_@_8.815,5.402299504,5.327277607,6.132446175,4.928300402,4.716895771,4.07341419,5.898569182,5.538473064,5.902454552,5.831830828,5.653138883,6.05023576,4.343710689,4.344565248,5.701358613,5.609508837,5.738401796,5.543011654,6.010375012,5.483168134,6.397737587,5.669870946,5.673451163,5.623847104,6.189059192,5.59772012,5.561932118,5.689680318,5.852202448,5.304448279,6.384359725,5.576375456,5.197983368,5.914222677,5.761470996,5.808077997,5.941749498,5.788763569,5.689088565,5.830399417,0.45549944,5.295972275,0.432738176,0.005288664,0.153938069,0.124108839,67,9.79E-05,-0.005190777,0
162,162,11.7,108.11761,Unknown,[M+2H]2+,similar chromatogram in higher mz_1943,0.18,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,6.35,Cornell_Pos_S-08_R,108.11761:561066 109.12096:0 110.12432:0,,1020.8714_@_2.101,3.314684422,3.420744545,4.947290488,3.774545788,4.389706674,3.667892168,3.436538695,3.606991296,3.56708068,3.751268724,3.024008643,3.11128843,4.522368814,3.439660387,5.734598543,4.789987931,4.721972568,4.578948375,5.692767058,3.867148208,3.441606377,4.233374081,3.869235991,3.864540568,4.686933582,3.355116774,3.661337496,3.951489177,4.550221067,5.001798539,4.17858695,3.664738352,5.150953314,5.467553426,3.361257495,3.818458194,4.364824033,3.523434527,4.728141109,5.303210083,0.65534467,3.712433554,0.431016588,0.005493395,0.222564619,0.179437332,68,9.93E-05,-0.005394046,0
11476,11476,11.122,363.15775,Unknown,[M+H]+,,0.281,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,60.96,Cornell_Pos_S-25_R,363.15775:6941214 364.1611:1385140 365.16446:469934,,355.32193_@_19.136,6.076583579,5.925602239,5.953576373,5.979233087,5.891678258,5.807818732,5.967307241,5.901572778,5.663575358,5.843667649,5.81929997,5.80700177,5.68114063,5.877308155,5.812622444,5.817913989,5.821116843,5.819807123,5.660053406,5.630776362,5.611583225,5.704038076,5.690935437,5.952941,5.764193714,5.690960616,5.674047809,5.769061097,5.650249947,5.923376567,5.888630665,5.699089201,5.912599573,5.810538076,5.729913554,5.817612494,5.708285295,5.677476218,5.927994911,5.832682645,-0.101924471,5.871097559,-0.430978381,0.005498015,0.034618807,0.027910575,69,0.000100809,-0.005397206,0
24463,24463,10.704,626.52094,Unknown,[M+H]+,,0.292,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,10.18,Cornell_Pos_S-13,626.52094:283916 627.52429:0 628.52765:0,,617.05316_@_2.026,6.640609356,6.687825219,6.184629096,6.256511643,6.929667132,5.869604547,5.477739767,6.518460886,6.550166243,7.363708828,7.055368061,6.814024601,6.642363193,5.997691793,6.742111535,6.836629705,6.15280469,6.740447182,5.981464937,7.03831389,6.550749963,7.563712817,7.038941588,6.425510442,8.015915233,7.049976864,7.045834647,7.252815066,7.676886397,6.911679583,6.958078126,6.806174949,6.726888565,6.663480436,7.546716589,6.696563676,7.315087416,7.442967014,7.787318518,6.570944329,0.483062002,6.499169312,0.430889965,0.00550872,0.164114116,0.132313031,70,0.00010227,-0.00540645,0
31695,31695,2.017,842.17627,Unknown,[M+H]+,,0.191,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,26.76,Cornell_Pos_S-34,842.17627:862001 843.17962:301135 844.18298:0,,822.64948_@_11.682,3.485353827,3.661857996,3.713511031,3.727018748,4.186489766,3.270223082,3.656289954,3.799474605,3.73842472,3.272252776,4.101876638,4.235530673,4.476010508,4.096421337,3.082163925,2.677524725,4.138266123,3.655244604,3.013621091,3.531496773,3.93784509,3.407807185,2.962460713,3.282302954,3.628873945,3.322708186,4.059206836,3.467126047,3.658128023,3.811408632,2.903737794,3.443676379,3.911413763,3.514757098,3.587249701,3.082935801,3.542431833,3.121251292,3.49788723,3.708719541,-0.356142014,3.815766833,-0.43018827,0.00559432,0.12123699,0.097744386,71,0.000103731,-0.005490588,0
16850,16850,13.328,466.33279,Unknown,[M+H]+,,0.191,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,19.92,Cornell_Pos_S-05,466.33279:3476497 467.33614:963936 468.3395:1020678,,459.12683_@_2.164,4.948497522,4.332937707,4.749654592,5.50586455,4.573486637,4.668542498,4.806903573,5.512066852,4.491116871,5.067781085,5.227906884,4.430847131,5.103347265,5.177798849,4.890903805,4.807328916,4.605040294,4.649148949,4.587110436,4.465387374,4.689326709,4.7264148,4.505626918,4.768430785,3.517049731,4.437174232,4.443038114,4.979350372,4.505603464,4.78946395,4.405521301,4.681435394,4.57308323,5.00627074,4.226431853,4.164852834,4.320325899,4.483697223,3.564329313,5.110799573,-0.365031609,4.899768001,-0.429049598,0.005735677,0.12466772,0.100510329,72,0.000105192,-0.005630484,0
29906,29906,2.043,770.05609,Unknown,[M+H]+,,0.281,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,27.2,Cornell_Pos_S-13_R,770.05609:1667522 771.05944:463354 772.0628:0,,759.43335_@_9.462,3.815018799,3.66562824,5.02870148,6.370027212,5.329415749,5.394686257,5.543702482,4.959159217,5.629837675,4.109746598,3.994271486,4.745089689,5.27548505,6.754080233,4.868333609,4.734894022,4.885065193,4.480336105,4.605587932,4.338174891,2.951452393,3.376858675,4.538301635,5.583731685,3.944646475,3.440940312,3.832227422,3.705402634,3.818182819,5.16699714,3.294766338,3.894798234,5.066710246,4.504019823,3.691690179,4.962725353,5.182705979,3.781007445,4.387858971,4.666195859,-0.747625124,5.043917869,-0.428644923,0.005786653,0.255628694,0.206094442,73,0.000106653,-0.00568,0
7791,7791,1.977,292.95911,Unknown,[M+H]+,ion correlated with 4825; ion correlated with 964,0.764,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,105.29,Cornell_Pos_S-49,292.95911:23517678 293.96246:1277240 294.96582:300327,,285.22778_@_9.674,3.825352909,4.343070367,4.989064028,3.841217289,3.689660476,2.99320474,4.549046832,4.029614337,4.249685569,4.315527415,4.281782951,4.413744603,3.578382428,3.113412664,4.600056681,4.263533433,4.572685123,4.932629906,4.985680306,4.434908442,4.633810097,4.853259689,4.204766476,4.826728602,4.170269605,4.621567722,4.381246566,4.484922171,4.80446506,4.29242146,4.356258771,4.436365668,4.330766107,3.610677307,4.520294869,3.360558387,4.130419914,4.624995458,4.219989921,5.129992947,0.438005104,4.015197615,0.428569862,0.005796151,0.149795256,0.120768796,74,0.000108114,-0.005688037,0
3423,3423,5.571,190.14355,Unknown,[M+H]+,,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,10.02,Cornell_Pos_Blank1,190.14355:521010 191.1469:36977 192.15026:63865,,181.1703_@_14.35,5.326551779,5.430210168,5.496383207,5.611893598,5.414633462,5.292696964,5.555837952,5.46667454,5.300762613,5.653289501,5.055800265,5.247701775,5.418074172,5.248218339,4.753194162,4.822530791,5.08362332,5.030159729,5.302782716,5.338242877,5.565298428,4.960491364,5.312904653,4.966018078,5.253010079,5.130938729,5.00050491,5.300288003,4.833865316,5.380606094,5.363713889,5.2809771,5.164892685,5.558274531,5.472817425,5.378579541,5.32630436,5.069545465,5.288895975,5.23192613,-0.195333868,5.394194881,-0.428110291,0.0058546,0.066890909,0.053929175,75,0.000109575,-0.005745025,0
32161,32161,2.043,865.84668,Unknown,[M+2H]2+,,0.056,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,19.47,Cornell_Pos_S-42_R,865.84668:901522 866.85003:0 867.85339:0,,847.5321_@_15.477,4.350053143,4.375475734,4.191422594,4.600125472,5.735235301,4.549829076,4.275295498,4.376045483,4.546597951,4.433875572,3.961797242,5.446440298,4.528740153,5.827626181,4.536883919,4.513714238,4.099444488,4.130198462,4.089776509,4.529002316,4.379962562,4.465411888,4.25514533,3.892647026,4.431646709,4.371346285,4.289727484,4.288962133,4.237354811,4.138179047,4.330075882,3.524299583,4.405542279,4.356350738,4.351743643,4.198960719,4.739528938,4.21479024,4.400311028,4.18496785,-0.374117897,4.657039978,-0.426893066,0.006011879,0.128561559,0.103649643,76,0.000111036,-0.005900842,0
17502,17502,14.904,479.86887,Unknown,[M+H]+,,0.124,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,6.28,Cornell_Pos_S-25,479.86887:145441 480.87222:0 481.87558:0,,472.23428_@_11.39,2.625999386,3.846035616,3.422299158,4.177454223,3.255153156,2.06903061,3.185324419,3.425994877,3.308134326,3.23299741,3.292100336,3.661042496,3.522174234,4.457807504,4.207884309,4.232588205,4.282501304,4.443227176,3.956610204,3.787545942,3.744179949,3.79685016,4.593147207,4.281803821,3.244399354,3.653229924,3.335413385,3.011135383,3.394022594,3.744945993,3.361928779,3.999928365,4.263572722,4.147532855,4.4210952,3.210906553,3.945915515,3.529773459,3.792962942,4.029060754,0.470467108,3.391539125,0.426404302,0.006076052,0.161897504,0.13052594,77,0.000112497,-0.005963555,0
15747,15747,6.748,444.31836,Unknown,[M+H]+,,0.258,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,29.1,Cornell_Pos_S-47,444.31836:2619568 445.32171:574431 446.32507:98729,,436.81287_@_19.776,4.133711809,4.515705891,4.356291779,3.916921515,4.234524383,4.390110161,4.252743206,4.434987631,4.226302121,4.039262532,4.082779163,4.185921324,4.231676241,3.555863757,3.876025318,4.376162994,2.742530423,4.155791793,4.075894169,3.608849596,3.899377369,3.130908423,4.099903477,4.259664991,3.834404562,4.075497569,3.516388745,4.034347899,3.464593559,3.992497416,4.085781026,4.11143704,3.796583185,4.17495857,4.142748584,3.869154905,3.755765351,4.060023955,3.93197576,3.347494841,-0.320368621,4.18262868,-0.426331925,0.006085605,0.110268371,0.088901203,78,0.000113958,-0.005971647,0
14738,14738,1.927,425.09109,Unknown,[M+H]+,,0.191,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,9.88,Cornell_Pos_S-35_R,425.09109:613105 426.09444:0 427.0978:0,,417.08319_@_1.904,4.73454019,4.792429944,5.530301944,4.641941451,5.307879449,4.621445071,4.470109005,5.658699456,5.883858544,5.027258528,5.075593378,5.767096506,4.831910126,5.914729581,5.75006297,4.929250363,4.478720551,6.363253216,5.119047128,5.662008028,6.165882423,6.485826497,5.492919695,5.247679749,5.71853812,6.072633631,5.312896119,5.848497806,5.920694274,5.738163352,6.005948639,6.131928606,5.788611262,5.967837159,5.829901584,5.883001423,5.383242062,5.877224341,4.419673605,5.358660501,0.490733025,5.161270941,0.425710725,0.006168133,0.169207636,0.136419557,79,0.000115419,-0.006052714,0
15949,15949,11.647,448.31052,Unknown,[M+H]+,,0.056,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,17.72,Cornell_Pos_S-09_R,448.31052:3877362 449.31387:1135084 450.31723:0,,441.14371_@_8.778,3.80279505,3.971980781,3.356954443,3.766325348,3.490179507,3.86276013,3.71168234,3.62298141,6.884020742,3.643450391,3.434687309,3.608570585,3.611270622,3.19937921,3.318787102,2.776992823,2.978428433,3.367111231,3.47240329,3.590373175,3.633976439,3.829292064,3.209666555,2.840008382,3.374256494,3.060339362,3.072441312,3.635003785,3.067277944,3.073033174,3.650508144,3.425141298,2.688895814,3.421433835,3.757709406,3.589625056,3.464968235,3.514879372,2.894657985,2.807286006,-0.565769315,3.854788419,-0.425662821,0.006174537,0.195107404,0.157300618,80,0.00011688,-0.006057657,0
29744,29744,2.196,765.92413,Unknown,[M+H]+,,0.247,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,27.24,Cornell_Pos_S-36,765.92413:991746 766.92748:0 767.93084:292696,,754.0448_@_1.897,4.459878286,3.770848977,4.828545401,3.381746032,4.718578374,4.534249826,3.574191001,3.808974216,3.375061824,4.315666511,2.64876461,4.625370483,4.747698374,4.466801024,4.751780402,5.122858806,5.081045302,5.607197796,5.541506566,5.061011675,3.208453317,4.796202211,3.572308141,4.632065227,5.371819935,4.871309088,4.159285687,4.863229647,4.685010129,5.091078268,4.408288101,4.322338794,4.715164471,4.952960521,4.560854213,4.978586415,3.640555541,4.285423506,6.394106389,4.290023511,0.639661381,4.089741067,0.425174464,0.006240153,0.220898722,0.178094243,81,0.000118341,-0.006121811,0
28158,28158,2.131,721.04889,Unknown,[M+H]+,,0.36,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,110.88,Cornell_Pos_S-03,721.04889:5900566 722.05224:988878 723.0556:1843651,,710.55414_@_11.355,5.789659051,5.750528398,5.582317729,5.300691184,4.807321846,5.577148349,5.576380318,5.571538892,5.924311752,5.335510494,5.752716655,5.499297667,5.592427855,5.492945714,5.57580905,5.688710534,5.577510839,5.770424173,5.75699977,5.76274,5.748505735,5.880192639,5.566383523,5.676639587,5.55142731,5.656422865,5.817071791,5.539399479,5.565077028,5.678826734,5.795366082,5.994120335,5.672381113,5.733320881,5.741667272,5.790175489,5.739019481,5.687520047,5.856693648,5.735943068,0.174297212,5.539485422,0.424793604,0.006291742,0.060257139,0.048580858,82,0.000119802,-0.006171939,0
24994,24994,1.853,640.10211,Unknown,[M+2H]2+,,0.146,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,30.36,Cornell_Pos_S-47,640.10211:1812562 641.10546:402124 642.10882:621885,,630.40118_@_15.323,4.083438927,4.114059446,4.145770677,5.043973325,4.851957354,4.113835102,3.564240851,4.200332125,6.20859045,4.138081648,3.96689635,4.31894802,3.540270454,3.914088103,4.3855679,4.569373389,4.2646058,6.327322625,4.463371251,6.017993434,6.064168999,3.957054568,4.291658139,4.65184842,4.264383161,4.103532758,6.713746687,6.174113599,6.428349727,6.739087576,6.520537409,4.329994273,4.248471319,6.325781584,4.266702739,6.281077593,4.701479896,4.176138908,4.412065534,6.229640671,0.888451642,4.300320202,0.423987223,0.006402187,0.307863592,0.248207563,83,0.000121263,-0.006280923,0
9316,9316,2.422,322.98544,Unknown,[M+H]+,,0.101,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,27.06,Cornell_Pos_S-25,322.98544:4377234 323.98879:452705 324.99215:0,,315.23413_@_16.205,5.137783303,4.97824842,5.161639569,5.053029554,4.991770293,5.092958714,4.947894792,5.072267033,5.093655077,4.93211369,4.946138753,5.089542008,5.03187609,4.990789301,5.134858137,5.043362232,5.140185391,5.201335059,4.907261275,5.222191018,4.946858994,5.170884371,5.15251357,5.31710771,5.082894234,4.952087901,5.248976385,5.12044038,5.226486192,5.178344749,5.152447799,5.209963714,4.977400447,5.109751355,5.261841078,5.007007305,5.190498392,5.008232358,5.229594817,5.261182927,0.095713015,5.0371219,0.423708731,0.006440717,0.033192761,0.02676086,84,0.000122724,-0.006317992,0
31978,31978,18.599,854.58362,Unknown,[M+H]+,,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,44.5,Cornell_Pos_S-46,854.58362:1318090 855.58697:731899 856.59033:177579,,837.13287_@_1.971,3.517185655,3.171808697,4.817275433,4.927918763,3.386325159,3.299909046,4.059208696,3.767842116,3.614003393,4.627877356,2.530084553,3.785185271,5.4614036,4.413128822,5.28522678,4.798768755,4.661306243,4.693204307,4.839414616,4.453998102,3.804493278,4.008120865,3.235260121,4.781351953,5.509515605,4.499678947,4.233545681,4.382651664,5.295512478,4.534342063,4.079133483,4.620478423,4.553254848,4.741752036,4.961507344,5.057184843,4.520851169,4.302355025,3.737761374,4.678816602,0.593172368,3.95565404,0.421777241,0.006713494,0.206856581,0.166773107,85,0.000124185,-0.006589309,0
14464,14464,9.997,419.24072,"w/o MS2:4-[(2R,3R)-3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-1,2-dimethoxybenzene",[M+H]+,,0.303,FALSE,5.733,419.24069,C24H34O6,Dibenzylbutane lignans,KFLQGJQSLUYUBF-PMACEKPBSA-N,O(C1=CC=C(C=C1OC)CC(COC)C(COC)CC2=CC=C(OC)C(OC)=C2)C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,100,99.9,,,,37.29,Cornell_Pos_S-47,419.24072:6262287 420.24407:1795464 421.24743:332948,,412.22055_@_8.896,4.059465679,5.122860591,4.048139436,4.962049067,6.586597799,4.679062104,3.559230389,3.96802007,4.124322881,3.960288661,4.036115301,3.974375358,6.295046557,4.218430112,4.063878389,4.095214701,4.363900852,3.840954938,3.954755137,4.083584314,2.891504289,3.039889727,4.81199913,4.427595227,3.802140222,3.099201025,3.835573877,3.139499627,3.239671665,4.380018923,3.554815188,3.946497369,4.327488824,4.072135978,2.915797423,4.071521093,5.143172698,4.348078884,2.744015745,3.945908449,-0.690936023,4.542428857,-0.420742848,0.006863633,0.241669997,0.194840581,86,0.000125646,-0.006737986,0
27955,27955,11.98,715.50732,Unknown,[M+H]+,,0.337,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,98.53,Cornell_Pos_S-06,715.50732:4401804 716.51067:2273729 717.51403:465550,,705.19281_@_18.846,4.531057055,4.511897632,4.463527898,4.546376685,4.491464572,4.322205143,4.554237368,4.435636034,4.463479936,4.214883863,4.407842341,4.398973958,4.576846409,4.294574598,4.297539315,4.151186234,4.280055537,4.190363478,4.467752651,4.258515499,4.275126195,4.284593664,4.345614696,4.203184553,4.568217623,4.170933265,4.309285292,3.952124002,4.501396561,4.18602074,4.250940305,4.190035996,4.501532634,4.447937505,4.269486926,4.258771657,4.194927838,4.472729305,4.71647478,4.261874323,-0.135839018,4.443785964,-0.420370307,0.00691841,0.047563829,0.038347185,87,0.000127108,-0.006791303,0
